mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 3, 6, 32.4319, 0.189772, 0.0128, 1648
0.0001, 3, 6, 15.8916, 0.201813, 0.0131, 1577
0.0001, 3, 4, 66.1875, 0.204589, 0.0167, 1211
0.0001, 4, 65, 66.1875, 0.0925108, 0.068, 17133
0.0001, 4, 65, 32.4319, 0.109329, 0.0535, 16875
0.0001, 4, 65, 15.8916, 0.124728, 0.0512, 16610
0.0001, 4, 65, 7.78689, 0.126533, 0.0416, 16420
0.0001, 4, 65, 3.81558, 0.126156, 0.0429, 16296
0.0001, 4, 65, 1.86963, 0.13078, 0.0392, 16311
0.0001, 4, 65, 0.91612, 0.133851, 0.0375, 16281
0.0001, 4, 65, 0.448899, 0.137402, 0.0388, 16318
0.0001, 4, 65, 0.21996, 0.132599, 0.0319, 16309
0.0001, 4, 65, 0.107781, 0.133275, 0.0403, 16387
0.0001, 4, 65, 0.0528125, 0.13281, 0.0442, 16268
0.0001, 4, 45, 66.1875, 0.100281, 0.0514, 11928
0.0001, 4, 45, 32.4319, 0.118233, 0.0412, 11748
0.0001, 4, 45, 15.8916, 0.119508, 0.0363, 11492
0.0001, 4, 45, 7.78689, 0.127917, 0.0324, 11383
0.0001, 4, 45, 3.81558, 0.136811, 0.0326, 11288
0.0001, 4, 45, 1.86963, 0.14577, 0.0299, 11363
0.0001, 4, 45, 0.91612, 0.138045, 0.0297, 11313
0.0001, 4, 45, 0.448899, 0.143742, 0.0319, 11422
0.0001, 4, 45, 0.21996, 0.139681, 0.0306, 11277
0.0001, 4, 45, 0.107781, 0.140617, 0.027, 11288
0.0001, 4, 45, 0.0528125, 0.145662, 0.0276, 11422
0.0001, 4, 31, 66.1875, 0.108999, 0.0345, 8138
0.0001, 4, 31, 32.4319, 0.123162, 0.0274, 7980
0.0001, 4, 31, 15.8916, 0.134132, 0.0239, 7888
0.0001, 4, 31, 7.78689, 0.14223, 0.0221, 8012
0.0001, 4, 31, 3.81558, 0.14762, 0.0244, 7747
0.0001, 4, 31, 1.86963, 0.149231, 0.0215, 7747
0.0001, 4, 31, 0.91612, 0.151478, 0.0223, 7728
0.0001, 4, 31, 0.448899, 0.150981, 0.0221, 7813
0.0001, 4, 31, 0.21996, 0.149269, 0.0223, 7836
0.0001, 4, 31, 0.107781, 0.155216, 0.0252, 7814
0.0001, 4, 31, 0.0528125, 0.151433, 0.0211, 7806
0.0001, 4, 21, 66.1875, 0.126118, 0.0259, 5528
0.0001, 4, 21, 32.4319, 0.133069, 0.0182, 5428
0.0001, 4, 21, 15.8916, 0.151183, 0.0205, 5381
0.0001, 4, 21, 7.78689, 0.170017, 0.015, 5384
0.0001, 4, 21, 3.81558, 0.149898, 0.0172, 5402
0.0001, 4, 21, 1.86963, 0.152447, 0.0131, 5361
0.0001, 4, 21, 0.91612, 0.164837, 0.0159, 5547
0.0001, 4, 21, 0.448899, 0.161959, 0.0136, 5393
0.0001, 4, 21, 0.21996, 0.166817, 0.014, 5386
0.0001, 4, 21, 0.107781, 0.16216, 0.0161, 5346
0.0001, 4, 21, 0.0528125, 0.164316, 0.0168, 5355
0.0001, 4, 14, 66.1875, 0.133914, 0.0169, 3719
0.0001, 4, 14, 32.4319, 0.159062, 0.0146, 3615
0.0001, 4, 14, 15.8916, 0.145407, 0.0128, 3702
0.0001, 4, 14, 7.78689, 0.157092, 0.0106, 3589
0.0001, 4, 14, 3.81558, 0.168546, 0.0112, 3586
0.0001, 4, 14, 1.86963, 0.163178, 0.0114, 3564
0.0001, 4, 14, 0.91612, 0.165305, 0.012, 3550
0.0001, 4, 14, 0.448899, 0.168045, 0.0135, 3576
0.0001, 4, 14, 0.21996, 0.171219, 0.0129, 3583
0.0001, 4, 14, 0.107781, 0.160944, 0.0113, 3576
0.0001, 4, 14, 0.0528125, 0.167708, 0.0115, 3574
0.0001, 4, 9, 66.1875, 0.160957, 0.0125, 2415
0.0001, 4, 9, 32.4319, 0.199861, 0.01, 2317
0.0001, 4, 9, 15.8916, 0.190819, 0.0084, 2300
0.0001, 4, 9, 7.78689, 0.193471, 0.0083, 2292
0.0001, 4, 9, 3.81558, 0.198579, 0.0081, 2288
0.0001, 4, 9, 1.86963, 0.200069, 0.0094, 2285
0.0001, 4, 6, 66.1875, 0.224843, 0.0098, 1915
0.0001, 5, 65, 66.1875, 0.124823, 0.0294, 16394
0.0001, 5, 65, 32.4319, 0.120794, 0.0336, 16423
0.0001, 5, 65, 15.8916, 0.130539, 0.0387, 16392
0.0001, 5, 65, 7.78689, 0.122779, 0.0317, 16213
0.0001, 5, 65, 3.81558, 0.131041, 0.0326, 16245
0.0001, 5, 65, 1.86963, 0.126973, 0.0323, 16168
0.0001, 5, 65, 0.91612, 0.122113, 0.0335, 16447
0.0001, 5, 65, 0.448899, 0.130629, 0.0325, 16429
0.0001, 5, 65, 0.21996, 0.125666, 0.0325, 16344
0.0001, 5, 65, 0.107781, 0.128953, 0.0341, 16426
0.0001, 5, 65, 0.0528125, 0.123878, 0.031, 16413
0.0001, 5, 45, 66.1875, 0.132003, 0.0228, 11409
0.0001, 5, 45, 32.4319, 0.143645, 0.024, 11342
0.0001, 5, 45, 15.8916, 0.141354, 0.0255, 11654
0.0001, 5, 45, 7.78689, 0.151837, 0.0249, 11445
0.0001, 5, 45, 3.81558, 0.147244, 0.0209, 11327
0.0001, 5, 45, 1.86963, 0.128046, 0.0236, 11486
0.0001, 5, 45, 0.91612, 0.134148, 0.0253, 11342
