mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 0, 4, 1.97387, 0.0367941, 0.2251, 5398
0.0001, 0, 4, 0.967195, 0.0455841, 0.1873, 5381
0.0001, 0, 4, 0.473926, 0.049028, 0.1091, 5354
0.0001, 0, 4, 0.232224, 0.0475378, 0.0986, 5305
0.0001, 0, 4, 0.11379, 0.0562926, 0.0847, 5071
0.0001, 0, 4, 0.0557569, 0.0528947, 0.0831, 5435
0.0001, 0, 2, 69.8776, 0.0830891, 0.5078, 3481
0.0001, 0, 2, 34.24, 0.0878967, 0.3015, 2975
0.0001, 0, 2, 16.7776, 0.0477119, 0.2351, 2804
0.0001, 0, 2, 8.22103, 0.0632471, 0.199, 2799
0.0001, 0, 2, 4.0283, 0.0952692, 0.1556, 2746
0.0001, 0, 2, 1.97387, 0.105611, 0.1212, 2764
0.0001, 0, 2, 0.967195, 0.0811578, 0.0956, 2718
0.0001, 0, 2, 0.473926, 0.0882105, 0.0597, 2746
0.0001, 0, 2, 0.232224, 0.0625741, 0.0498, 2693
0.0001, 0, 2, 0.11379, 0.0740471, 0.0441, 2744
0.0001, 0, 2, 0.0557569, 0.070569, 0.0486, 2527
0.0001, 0, 1, 69.8776, 0.0888502, 0.2671, 2087
0.0001, 0, 1, 34.24, 0.0673149, 0.1546, 1641
0.0001, 0, 1, 16.7776, 0.0672443, 0.1147, 1473
0.0001, 0, 1, 8.22103, 0.0674391, 0.0934, 1450
0.0001, 0, 1, 4.0283, 0.0650228, 0.0943, 1385
0.0001, 0, 1, 1.97387, 0.061624, 0.0644, 1402
0.0001, 0, 1, 0.967195, 0.0734003, 0.0492, 1396
0.0001, 0, 1, 0.473926, 0.086144, 0.0306, 1387
0.0001, 0, 1, 0.232224, 0.0647942, 0.0286, 1377
0.0001, 0, 1, 0.11379, 0.0801977, 0.0259, 1391
0.0001, 0, 1, 0.0557569, 0.0855426, 0.0243, 1051
0.0001, 1, 65, 69.8776, 0.0261732, 8.6848, 89139
0.0001, 1, 65, 34.24, 0.0301521, 5.0683, 85415
0.0001, 1, 65, 16.7776, 0.0271832, 3.6507, 84961
0.0001, 1, 65, 8.22103, 0.0285599, 2.7867, 83015
0.0001, 1, 65, 4.0283, 0.0293211, 2.2509, 83501
0.0001, 1, 65, 1.97387, 0.0273375, 1.7136, 82849
0.0001, 1, 65, 0.967195, 0.0429289, 1.2149, 82051
0.0001, 1, 65, 0.473926, 0.0360394, 0.8378, 80311
0.0001, 1, 65, 0.232224, 0.0362376, 0.6797, 79977
0.0001, 1, 65, 0.11379, 0.0305585, 0.6522, 79713
0.0001, 1, 65, 0.0557569, 0.038661, 0.6384, 78291
0.0001, 1, 45, 69.8776, 0.0370716, 5.8905, 57810
0.0001, 1, 45, 34.24, 0.0371737, 3.4762, 57499
0.0001, 1, 45, 16.7776, 0.037054, 2.4035, 57104
0.0001, 1, 45, 8.22103, 0.0310427, 1.9234, 56377
0.0001, 1, 45, 4.0283, 0.0338767, 1.6012, 55288
0.0001, 1, 45, 1.97387, 0.0322289, 1.142, 54648
0.0001, 1, 45, 0.967195, 0.0317238, 0.8133, 55270
0.0001, 1, 45, 0.473926, 0.0411611, 0.6264, 54577
0.0001, 1, 45, 0.232224, 0.0379167, 0.4809, 54149
0.0001, 1, 45, 0.11379, 0.036058, 0.4546, 54116
0.0001, 1, 45, 0.0557569, 0.0399201, 0.4468, 53674
0.0001, 1, 31, 69.8776, 0.0402855, 4.0067, 39532
0.0001, 1, 31, 34.24, 0.038546, 2.3783, 38837
0.0001, 1, 31, 16.7776, 0.029638, 1.6506, 38293
0.0001, 1, 31, 8.22103, 0.0504163, 1.3141, 38220
0.0001, 1, 31, 4.0283, 0.032597, 1.0519, 37866
0.0001, 1, 31, 1.97387, 0.0450236, 0.8194, 37175
0.0001, 1, 31, 0.967195, 0.0360418, 0.5867, 36745
0.0001, 1, 31, 0.473926, 0.0316786, 0.3979, 36449
0.0001, 1, 31, 0.232224, 0.0419842, 0.3448, 36522
0.0001, 1, 31, 0.11379, 0.0345318, 0.2952, 37698
0.0001, 1, 31, 0.0557569, 0.0376805, 0.3116, 37268
0.0001, 1, 21, 69.8776, 0.0436787, 2.7049, 26334
0.0001, 1, 21, 34.24, 0.0381861, 1.574, 26743
0.0001, 1, 21, 16.7776, 0.0334272, 1.1455, 26551
0.0001, 1, 21, 8.22103, 0.0387828, 0.8648, 26130
0.0001, 1, 21, 4.0283, 0.0432743, 0.7066, 25863
0.0001, 1, 21, 1.97387, 0.0339623, 0.5568, 22735
0.0001, 1, 21, 0.967195, 0.0504408, 0.4042, 22140
0.0001, 1, 21, 0.473926, 0.0499168, 0.299, 22230
0.0001, 1, 21, 0.232224, 0.0392322, 0.245, 22132
