mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 1, 65, 1.85205, 0.157044, 0.1949, 24063
0.0001, 1, 65, 0.907505, 0.160944, 0.186, 23721
0.0001, 1, 65, 0.444677, 0.158546, 0.2002, 23947
0.0001, 1, 65, 0.217892, 0.155033, 0.1812, 24013
0.0001, 1, 65, 0.106767, 0.155095, 0.1938, 24117
0.0001, 1, 65, 0.0523158, 0.164342, 0.1953, 23896
0.0001, 1, 45, 65.565, 0.160418, 0.266, 20516
0.0001, 1, 45, 32.1269, 0.161369, 0.2077, 18497
0.0001, 1, 45, 15.7422, 0.159024, 0.1755, 17480
0.0001, 1, 45, 7.71366, 0.15628, 0.1879, 16973
0.0001, 1, 45, 3.77969, 0.165467, 0.1663, 16702
0.0001, 1, 45, 1.85205, 0.159948, 0.1551, 16837
0.0001, 1, 45, 0.907505, 0.153466, 0.1528, 16504
0.0001, 1, 45, 0.444677, 0.159618, 0.1506, 16542
0.0001, 1, 45, 0.217892, 0.157341, 0.1526, 16719
0.0001, 1, 45, 0.106767, 0.160011, 0.125, 16491
0.0001, 1, 45, 0.0523158, 0.171766, 0.1476, 16369
0.0001, 1, 31, 65.565, 0.157122, 0.1977, 14324
0.0001, 1, 31, 32.1269, 0.162699, 0.1409, 12677
0.0001, 1, 31, 15.7422, 0.171184, 0.1275, 12135
0.0001, 1, 31, 7.71366, 0.158878, 0.1191, 11727
0.0001, 1, 31, 3.77969, 0.162425, 0.0986, 11613
0.0001, 1, 31, 1.85205, 0.172609, 0.1019, 11559
0.0001, 1, 31, 0.907505, 0.16257, 0.1097, 12212
0.0001, 1, 31, 0.444677, 0.168455, 0.1058, 11720
0.0001, 1, 31, 0.217892, 0.157577, 0.0991, 11543
0.0001, 1, 31, 0.106767, 0.165017, 0.1065, 11767
0.0001, 1, 31, 0.0523158, 0.168126, 0.1221, 11746
0.0001, 1, 21, 65.565, 0.165939, 0.1502, 9934
0.0001, 1, 21, 32.1269, 0.16852, 0.1156, 8707
0.0001, 1, 21, 15.7422, 0.16265, 0.0806, 8193
0.0001, 1, 21, 7.71366, 0.173148, 0.0777, 7992
