mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 1, 16, 0.729805, 0.15425, 0.0249, 56
0.0001, 1, 16, 0.357605, 0.186125, 0.0216, 56
0.0001, 1, 16, 0.175226, 0.208447, 0.0197, 61
0.0001, 1, 11, 52.7267, 0.0996992, 0.1081, 777
0.0001, 1, 11, 25.8361, 0.0951538, 0.0756, 393
0.0001, 1, 11, 12.6597, 0.100406, 0.0636, 179
0.0001, 1, 11, 6.20324, 0.0986055, 0.0388, 95
0.0001, 1, 11, 3.03959, 0.0956238, 0.0287, 62
0.0001, 1, 11, 1.4894, 0.124921, 0.024, 47
0.0001, 1, 11, 0.729805, 0.163128, 0.0202, 39
0.0001, 1, 11, 0.357605, 0.214166, 0.0157, 37
0.0001, 1, 7, 52.7267, 0.116802, 0.0613, 495
0.0001, 1, 7, 25.8361, 0.110745, 0.0532, 235
0.0001, 1, 7, 12.6597, 0.118186, 0.0385, 111
0.0001, 1, 7, 6.20324, 0.118869, 0.0256, 58
0.0001, 1, 7, 3.03959, 0.11649, 0.0203, 41
0.0001, 1, 7, 1.4894, 0.142433, 0.013, 34
0.0001, 1, 7, 0.729805, 0.186769, 0.0111, 30
0.0001, 1, 7, 0.357605, 0.209362, 0.01, 29
0.0001, 1, 4, 52.7267, 0.187025, 0.0367, 299
0.0001, 1, 4, 25.8361, 0.176013, 0.0228, 141
0.0001, 1, 4, 12.6597, 0.181668, 0.0195, 62
0.0001, 1, 4, 6.20324, 0.191276, 0.0145, 38
0.0001, 1, 4, 3.03959, 0.196802, 0.01, 26
0.0001, 1, 4, 1.4894, 0.205556, 0.0077, 23
0.0001, 1, 2, 52.7267, 0.345323, 0.0144, 195
0.0001, 2, 50, 52.7267, 0.0714943, 0.1654, 1288
0.0001, 2, 50, 25.8361, 0.0757897, 0.1248, 606
0.0001, 2, 50, 12.6597, 0.0744267, 0.1093, 317
0.0001, 2, 50, 6.20324, 0.0762214, 0.0686, 223
0.0001, 2, 50, 3.03959, 0.0796381, 0.0522, 197
0.0001, 2, 50, 1.4894, 0.1041, 0.0427, 150
