dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
covtype,test,0.01,ann-faiss,"{}_[0, 10, 1024, 1]",1.2209948317304016,10.0,0.010417056083679202,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 1024, 5]",1.172553288463639,10.0,0.004323005676269531,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 1024, 10]",1.1935415835765517,10.0,0.003963971138000489,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 1024, 50]",1.1960768367195798,10.0,0.003952312469482423,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 2048, 5]",1.1918312400000242,10.0,0.006837463378906251,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 2048, 10]",1.2088473761393215,10.0,0.005279231071472169,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 2048, 50]",1.1890420535346302,10.0,0.004283118247985841,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 4096, 5]",1.1929807185287373,10.0,0.007997775077819822,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 4096, 10]",1.211452116544154,10.0,0.005938029289245607,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 10, 4096, 50]",1.2217032360472797,10.0,0.004278373718261718,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 32, 1]",0.9932176117354057,20.0,0.014522695541381834,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 32, 5]",0.9487322621931024,20.0,0.00869731903076172,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 32, 10]",1.0035394075309523,20.0,0.00853903293609619,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 32, 50]",0.9722172212697126,20.0,0.008413839340209962,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 64, 1]",0.9845004963796223,20.0,0.011231088638305662,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 64, 5]",0.97240264709218,20.0,0.008983922004699708,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 64, 10]",0.9893752471222682,20.0,0.007657623291015626,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 64, 50]",0.989396914624961,20.0,0.007791614532470704,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 128, 1]",0.9658204340836932,20.0,0.011887145042419436,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 128, 5]",0.9894904423597741,20.0,0.009542322158813479,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 128, 10]",0.9894360512773336,20.0,0.008384227752685547,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 128, 50]",0.9675461037709121,20.0,0.008348131179809568,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 256, 1]",0.9770748756497012,20.0,0.01998178958892822,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 256, 5]",0.9705495777782391,20.0,0.007822203636169435,8.273808479309082
covtype,test,0.01,ann-faiss,"{}_[0, 20, 256, 10]",0.9764120559047942,20.0,0.008048152923583986,8.273808479309082
