dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 1]",1.2809797419152564,10.0,0.0014644861221313477,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 5]",1.2277968555043368,10.0,0.0015100955963134768,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 10]",1.1984343869795495,10.0,0.0015178918838500977,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 50]",1.233363913374188,10.0,0.0011561632156372073,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 1]",1.204598504541497,10.0,0.0014864683151245115,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 5]",1.300971852470562,10.0,0.0015205144882202148,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 10]",1.2468155321183594,10.0,0.001504659652709961,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 50]",1.2324494003895494,10.0,0.0011500835418701174,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 1]",1.2469995911698792,10.0,0.001471662521362305,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 5]",1.208921106865624,10.0,0.001512718200683594,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 10]",1.2424521246510978,10.0,0.001505470275878906,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 50]",1.3059076137453223,10.0,0.0011414766311645505,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 4096, 1]",1.203389407737844,10.0,0.001468229293823242,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 4096, 5]",1.23610470020609,10.0,0.0015164375305175778,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 4096, 10]",1.2748942143162714,10.0,0.002150416374206543,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 4096, 50]",1.202121472291787,10.0,0.001189589500427246,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 32, 1]",1.0227113638733343,20.0,0.0026720762252807617,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 32, 5]",1.0268454480576696,20.0,0.0028879165649414056,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 32, 10]",1.0280492662089016,20.0,0.002333021163940429,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 32, 50]",0.9989327748656538,20.0,0.0020143985748291016,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 64, 1]",1.068757190834172,20.0,0.0026725769042968755,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 64, 5]",1.0705012432526715,20.0,0.002820038795471192,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 64, 10]",1.024912449228367,20.0,0.002650022506713867,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 64, 50]",1.006861965070843,20.0,0.0020726919174194336,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 128, 1]",1.0235532174854187,20.0,0.0026422500610351557,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 128, 5]",1.037728673245876,20.0,0.0027251243591308594,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 128, 10]",0.9989132927068104,20.0,0.0026237726211547846,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 128, 50]",1.0704303896335454,20.0,0.002015018463134766,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 256, 1]",1.018549326880988,20.0,0.002649164199829101,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 256, 5]",1.0625206693211497,20.0,0.0027463197708129878,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 256, 10]",1.0674265080980436,20.0,0.0026663303375244135,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 256, 50]",1.024454793336949,20.0,0.0020514726638793945,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 512, 1]",1.0201104277479207,20.0,0.0026475429534912115,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 512, 5]",1.128086665076196,20.0,0.0028559446334838873,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 512, 10]",1.0226342529912862,20.0,0.0020338535308837896,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 512, 50]",1.023582937948788,20.0,0.0020204305648803714,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 1024, 1]",1.0233061844390008,20.0,0.0026417970657348633,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 1024, 5]",1.0312380707915938,20.0,0.002725791931152343,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 1024, 10]",1.0485962499028196,20.0,0.0026329040527343756,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 1024, 50]",1.0651150731037495,20.0,0.002045965194702148,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 2048, 1]",1.0160868038973376,20.0,0.0027621507644653314,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 2048, 5]",1.0431159423949372,20.0,0.0028858184814453125,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 2048, 10]",1.0342735262032106,20.0,0.002165889739990234,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 2048, 50]",1.0389986487593712,20.0,0.002133440971374512,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 4096, 1]",1.0278474820781325,20.0,0.002785897254943847,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 4096, 5]",1.017322048627979,20.0,0.002822327613830567,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 4096, 10]",1.0699976813372447,20.0,0.0021595239639282224,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 20, 4096, 50]",1.0232164511786639,20.0,0.002028989791870117,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 32, 1]",0.8195320227193111,40.0,0.005124998092651366,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 32, 5]",0.8890227653271152,40.0,0.005314183235168456,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 32, 10]",0.8275685438718134,40.0,0.003771162033081054,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 32, 50]",0.8212282224478104,40.0,0.003784132003784179,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 64, 1]",0.8326750026872352,40.0,0.005099081993103027,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 64, 5]",0.820086378385609,40.0,0.005162668228149413,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 64, 10]",0.8195212468315031,40.0,0.003811883926391602,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 64, 50]",0.8363519619502696,40.0,0.0038640499114990234,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 128, 1]",0.8468895247712189,40.0,0.005119204521179199,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 128, 5]",0.8961927493678915,40.0,0.0053781986236572255,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 128, 10]",0.9424301179750524,40.0,0.004003310203552247,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 128, 50]",0.8264785054466535,40.0,0.003961777687072753,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 256, 1]",0.8232675594984931,40.0,0.005097556114196778,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 256, 5]",0.8342679443548677,40.0,0.005386948585510254,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 256, 10]",0.8132279235067225,40.0,0.003996133804321289,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 256, 50]",0.8248254642639975,40.0,0.003945136070251465,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 512, 1]",0.8411965422710224,40.0,0.005341291427612305,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 512, 5]",0.8326285342626013,40.0,0.005360150337219237,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 512, 10]",0.8214842561808656,40.0,0.003854584693908691,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 512, 50]",0.8175614620036679,40.0,0.003754138946533203,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 1024, 1]",0.8276115425612787,40.0,0.005070829391479492,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 1024, 5]",0.8326940036710655,40.0,0.00514531135559082,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 1024, 10]",0.8161775729029785,40.0,0.0039127349853515635,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 1024, 50]",0.8174266209599398,40.0,0.0038477897644042963,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 2048, 1]",0.8217325552818475,40.0,0.005118083953857421,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 2048, 5]",0.8244705126245379,40.0,0.005149579048156739,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 2048, 10]",0.8055666590114422,40.0,0.0038434028625488276,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 2048, 50]",0.8348030772297509,40.0,0.0038750648498535162,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 4096, 1]",0.8202759336829317,40.0,0.005127215385437011,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 4096, 5]",0.8367150628492132,40.0,0.005346035957336427,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 4096, 10]",0.8258096758334871,40.0,0.003917407989501952,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 40, 4096, 50]",0.8105785806490947,40.0,0.003949236869812011,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 32, 1]",0.6353177969980662,80.0,0.00993490219116211,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 32, 5]",0.6560613310971988,80.0,0.008096981048583985,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 32, 10]",0.6563317579223829,80.0,0.007532286643981935,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 32, 50]",0.6141785735550508,80.0,0.007465457916259767,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 64, 1]",0.6429160840095856,80.0,0.009950995445251465,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 64, 5]",0.6668375836648525,80.0,0.008164978027343752,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 64, 10]",0.6691945596979629,80.0,0.00750105381011963,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 64, 50]",0.6439268916317182,80.0,0.007287049293518065,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 128, 1]",0.64623913484671,80.0,0.010010862350463865,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 128, 5]",0.6361356454364928,80.0,0.008680391311645509,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 128, 10]",0.6543540919783726,80.0,0.007296037673950194,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 128, 50]",0.6390562205520972,80.0,0.007483243942260742,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 256, 1]",0.6410481300642542,80.0,0.009964299201965333,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 256, 5]",0.6585853528926845,80.0,0.008354616165161132,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 256, 10]",0.6353467931864795,80.0,0.00744791030883789,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 256, 50]",0.6353402499496955,80.0,0.0075225830078125,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 512, 1]",0.6568520681268007,80.0,0.009982419013977051,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 512, 5]",0.647580046110366,80.0,0.008205914497375486,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 512, 10]",0.6532411901413067,80.0,0.007406067848205565,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 512, 50]",0.6361006489873114,80.0,0.007426190376281739,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 1024, 1]",0.636957202429533,80.0,0.009958386421203613,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 1024, 5]",0.6961425028039735,80.0,0.008625721931457522,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 1024, 10]",0.6501197984975848,80.0,0.007554006576538085,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 1024, 50]",0.637877207827623,80.0,0.007371449470520018,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 2048, 1]",0.6576369565518525,80.0,0.009979677200317384,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 2048, 5]",0.6676125273635126,80.0,0.008323144912719726,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 2048, 10]",0.6333462817888647,80.0,0.007401466369628906,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 2048, 50]",0.6508291976854187,80.0,0.007403039932250975,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 4096, 1]",0.6363996044813643,80.0,0.010156893730163572,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 4096, 5]",0.6384036169607982,80.0,0.007763195037841798,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 4096, 10]",0.6588666292073463,80.0,0.007421731948852539,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 80, 4096, 50]",0.635923841385948,80.0,0.007419562339782716,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 32, 1]",0.4852431915726795,160.0,0.024840807914733882,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 32, 5]",0.49267878801177084,160.0,0.014649295806884764,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 32, 10]",0.5024994253510316,160.0,0.014832115173339846,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 32, 50]",0.4931027806799761,160.0,0.014692068099975586,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 64, 1]",0.5017410482450518,160.0,0.019840335845947264,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 64, 5]",0.5038784230339931,160.0,0.014661097526550291,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 64, 10]",0.485813369921989,160.0,0.014675545692443845,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 64, 50]",0.4990301734716468,160.0,0.014864110946655271,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 128, 1]",0.48681789292366817,160.0,0.019807529449462895,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 128, 5]",0.5122528313111395,160.0,0.014744210243225095,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 128, 10]",0.5061157993511032,160.0,0.014749193191528318,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 128, 50]",0.47933098083329984,160.0,0.0145505428314209,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 256, 1]",0.49929844863879247,160.0,0.01982557773590088,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 256, 5]",0.5046285763351549,160.0,0.01468038558959961,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 256, 10]",0.5170924417447901,160.0,0.014679527282714846,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 256, 50]",0.48854765689211693,160.0,0.014759564399719236,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 512, 1]",0.5078503005069624,160.0,0.01983025074005127,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 512, 5]",0.5035438343011155,160.0,0.014652514457702635,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 512, 10]",0.4905156896699508,160.0,0.0147045373916626,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 512, 50]",0.5410350598527063,160.0,0.014745211601257326,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 1024, 1]",0.502377368060869,160.0,0.020016980171203617,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 1024, 5]",0.48610736104688035,160.0,0.014610195159912107,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 1024, 10]",0.4998951165533836,160.0,0.014736175537109375,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 1024, 50]",0.49080855124281986,160.0,0.014803504943847658,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 2048, 1]",0.48234520146985854,160.0,0.01981484889984131,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 2048, 5]",0.4789711982773574,160.0,0.014831614494323733,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 2048, 10]",0.513306144045409,160.0,0.014676856994628904,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 2048, 50]",0.4970328815780157,160.0,0.014515948295593264,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 4096, 1]",0.4913809376768176,160.0,0.01980712413787842,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 4096, 5]",0.5215060912089405,160.0,0.014691066741943362,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 4096, 10]",0.5148547427168244,160.0,0.014672708511352541,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 160, 4096, 50]",0.4844289699567749,160.0,0.01476895809173584,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 32, 1]",0.36676727916166124,320.0,0.03406612873077392,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 32, 5]",0.35989573332905217,320.0,0.02950053215026855,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 32, 10]",0.36094310608462177,320.0,0.028918528556823735,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 32, 50]",0.3729364069263686,320.0,0.029296898841857915,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 64, 1]",0.3560610837426485,320.0,0.03414428234100342,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 64, 5]",0.36257467274441507,320.0,0.029060745239257817,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 64, 10]",0.36242444481031133,320.0,0.02901923656463623,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 64, 50]",0.36149856651033996,320.0,0.028787350654602046,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 128, 1]",0.37280306924824824,320.0,0.0338620662689209,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 128, 5]",0.3532952212002328,320.0,0.029310870170593258,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 128, 10]",0.35878220661144183,320.0,0.0293046236038208,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 128, 50]",0.36939789372875537,320.0,0.02915425300598145,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 256, 1]",0.3626943508358811,320.0,0.03401789665222167,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 320, 256, 5]",0.3699868982885654,320.0,0.029082751274108882,0.07137250900268555
